65,80.45,5229.25,,,,,32.5,80.45,2614.63,,,,33,80.45,2654.85,,,,,189.05914247128,80.45,15209.81,,,,,,,,,,,,,,,32.5,80.45,2614.62499999999,,,16.25
66,80.44,5309.04,,,,,33,80.44,2654.52,,,,,80.44,0.00,,,,,207.965056718408,80.44,16728.71,,,,,,,,,,,,,,,33,80.44,2654.51999999999,,,16.5
67,80.43,5388.81,,,,,33.5,80.43,2694.41,,,,34,80.43,2734.62,,,,,228.761562390249,80.43,18399.29,,,,,,,,,,,,,,,33.5,80.43,2694.40499999999,,,16.75
68,80.42,5468.56,,,,,34,80.42,2734.28,,,,,80.42,0.00,,,,,251.637718629274,80.42,20236.71,,,,,,,,,,,,,,,34,80.42,2734.27999999999,,,17
69,80.41,5548.29,80.63,,,,34.5,80.41,2774.15,80.63,,,34,80.41,2733.94,80.67,,,,276.801490492201,80.41,22257.61,,,,,,,,,,,,,,,34.5,80.41,2774.14499999999,80.6290717299576,,17.25
2370000,,,,,,,35,80.40,2814.00,,,,880,,,,,,,3034.8163954142,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,35.5,80.39,2853.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175000,,,700000,1116000,1175,,36,80.38,2893.68,,,,700000,1170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116000,,,85,135.514285714286,8.67067257010329,,36.5,80.37,2933.51,,,,85,142.071428571429,3125.57142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58750,,37,80.36,2973.32,,,,,,0.133003039513678,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,37.5,80.35,3013.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,38,80.34,3052.92,,,,,106.857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,38.5,80.33,3092.71,,,,,2778.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,39,80.32,3132.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,39.5,80.31,3172.25,80.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,40,80.30,3212.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,40.5,80.29,3251.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,41,80.28,3291.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 pip,146.42,,41.5,80.27,3331.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 pips,"$3,368 ",,42,80.26,3370.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,42.5,80.25,3410.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"$23,700 ",,,43,80.24,3450.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"$27,068 ",,,43.5,80.23,3490.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13%,,44,80.22,3529.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12.4427368109945,,,44.5,80.21,3569.35,80.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,45,80.20,3609.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,45.5,80.19,3648.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,46,80.18,3688.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,46.5,80.17,3727.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1185,,,47,80.16,3767.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1353,,,47.5,80.15,3807.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,48,80.14,3846.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
